ID_entrada,ID_habitat,satisfaccion
0.0,H014,3.0
1.0,H005,1.0
2.0,H018,4.0
3.0,H018,1.0
3.0,H001,4.0
4.0,H018,4.0
4.0,H013,1.0
7.0,H018,5.0
7.0,H004,NULL
7.0,H018,2.0
7.0,H007,3.0
9.0,H017,3.0
11.0,H013,1.0
12.0,H002,2.0
12.0,H003,4.0
14.0,H014,5.0
14.0,H002,4.0
14.0,H014,5.0
16.0,H012,1.0
16.0,H002,3.0
16.0,H001,4.0
16.0,H004,2.0
17.0,H005,5.0
17.0,H011,4.0
19.0,H011,2.0
19.0,H005,2.0
20.0,H001,4.0
20.0,H015,1.0
21.0,H014,3.0
23.0,H001,3.0
23.0,H002,3.0
25.0,NULL,2.0
27.0,H005,5.0
27.0,H011,3.0
28.0,H002,5.0
28.0,NULL,3.0
30.0,H006,2.0
31.0,H001,4.0
31.0,H002,2.0
32.0,H014,3.0
34.0,H018,5.0
35.0,H018,3.0
36.0,H002,2.0
36.0,H003,2.0
38.0,H015,2.0
39.0,H001,4.0
39.0,H017,NULL
40.0,H014,1.0
40.0,H014,NULL
40.0,H003,1.0
41.0,H009,2.0
41.0,H006,3.0
42.0,H003,4.0
43.0,NULL,1.0
44.0,H011,3.0
46.0,H018,3.0
46.0,H002,5.0
47.0,H018,5.0
49.0,H003,5.0
49.0,NULL,2.0
49.0,H002,3.0
50.0,H002,3.0
51.0,H003,2.0
51.0,NULL,3.0
51.0,H016,3.0
52.0,H011,3.0
52.0,H015,NULL
53.0,H006,2.0
54.0,H002,5.0
54.0,H006,3.0
56.0,H001,3.0
56.0,H002,1.0
56.0,H018,NULL
57.0,NULL,3.0
58.0,H003,3.0
59.0,H005,4.0
61.0,H007,3.0
61.0,H006,2.0
62.0,H005,5.0
64.0,H007,3.0
64.0,H002,NULL
64.0,H005,2.0
65.0,H003,NULL
68.0,H002,1.0
69.0,H015,4.0
69.0,H011,5.0
69.0,H007,1.0
70.0,H011,5.0
71.0,H018,2.0
72.0,H017,2.0
74.0,H008,4.0
75.0,H003,2.0
76.0,H003,NULL
77.0,H005,NULL
77.0,H010,4.0
77.0,H005,2.0
79.0,H004,3.0
81.0,H018,3.0
81.0,H002,5.0
81.0,H014,NULL
83.0,H011,2.0
83.0,H010,4.0
83.0,H012,4.0
84.0,H003,3.0
84.0,H018,2.0
84.0,H017,5.0
85.0,H013,1.0
85.0,H017,2.0
85.0,H006,NULL
86.0,H002,5.0
86.0,H003,5.0
87.0,H002,3.0
88.0,H016,5.0
89.0,H006,4.0
90.0,H002,1.0
91.0,H016,1.0
91.0,H006,2.0
92.0,H007,2.0
92.0,H005,NULL
92.0,H011,1.0
96.0,H006,1.0
97.0,H003,4.0
100.0,H005,1.0
102.0,H017,2.0
104.0,H013,2.0
106.0,H004,4.0
110.0,H007,4.0
110.0,H017,NULL
111.0,H014,3.0
111.0,H007,3.0
111.0,H014,3.0
112.0,H005,3.0
112.0,H013,1.0
112.0,H003,5.0
112.0,H007,5.0
112.0,H008,4.0
113.0,H002,4.0
115.0,H011,3.0
116.0,H018,5.0
118.0,H017,4.0
119.0,H011,2.0
119.0,H007,1.0
119.0,H004,3.0
120.0,H007,2.0
120.0,H008,1.0
120.0,H017,1.0
120.0,H002,1.0
121.0,H003,4.0
123.0,H018,3.0
124.0,H018,4.0
124.0,H005,1.0
124.0,H011,4.0
126.0,H010,1.0
127.0,H014,4.0
127.0,H014,4.0
128.0,NULL,3.0
129.0,NULL,1.0
129.0,H010,2.0
129.0,H004,5.0
130.0,H014,2.0
131.0,H011,5.0
133.0,H014,4.0
133.0,NULL,1.0
133.0,H011,2.0
133.0,H011,1.0
133.0,H017,3.0
134.0,H004,4.0
134.0,H002,2.0
136.0,H002,5.0
136.0,H018,2.0
137.0,H017,4.0
138.0,H014,5.0
139.0,H014,1.0
140.0,H014,1.0
141.0,H018,2.0
141.0,H017,2.0
141.0,H013,5.0
141.0,H010,5.0
141.0,H014,2.0
141.0,H017,4.0
142.0,NULL,5.0
143.0,H007,2.0
145.0,NULL,1.0
145.0,H001,5.0
147.0,H009,NULL
149.0,H004,2.0
151.0,H002,3.0
152.0,H011,3.0
152.0,H003,4.0
153.0,H017,2.0
154.0,H012,1.0
154.0,H015,5.0
154.0,H017,5.0
155.0,H003,4.0
155.0,H007,3.0
156.0,H005,1.0
158.0,H014,2.0
158.0,H003,3.0
158.0,H014,4.0
158.0,H018,2.0
158.0,H018,2.0
159.0,H002,2.0
160.0,H006,2.0
160.0,H011,1.0
160.0,H014,4.0
161.0,H014,5.0
162.0,H018,2.0
162.0,H011,NULL
162.0,H013,5.0
162.0,H003,4.0
163.0,H009,2.0
163.0,H016,3.0
164.0,H005,3.0
165.0,H010,3.0
165.0,NULL,1.0
167.0,H012,4.0
167.0,H002,4.0
168.0,H004,1.0
170.0,H012,5.0
170.0,H018,2.0
171.0,H002,4.0
174.0,H003,1.0
176.0,H002,4.0
177.0,H009,4.0
180.0,H007,3.0
180.0,H002,4.0
181.0,H001,5.0
181.0,H018,3.0
181.0,H002,4.0
182.0,H002,5.0
182.0,H002,1.0
184.0,H002,5.0
185.0,H014,1.0
187.0,NULL,1.0
187.0,H002,NULL
190.0,H014,2.0
191.0,H002,1.0
191.0,H012,5.0
191.0,H008,4.0
192.0,H001,2.0
193.0,NULL,2.0
194.0,H002,2.0
195.0,H015,NULL
195.0,H002,2.0
195.0,H018,3.0
196.0,H018,5.0
196.0,H002,5.0
196.0,H005,3.0
199.0,H018,3.0
199.0,H005,5.0
201.0,H003,5.0
201.0,H006,3.0
202.0,H018,5.0
202.0,H011,2.0
203.0,H013,NULL
203.0,NULL,3.0
203.0,H002,4.0
204.0,H017,4.0
204.0,H009,4.0
205.0,H001,NULL
206.0,H014,2.0
206.0,H007,3.0
207.0,H016,5.0
207.0,H018,2.0
208.0,H007,3.0
208.0,H007,3.0
209.0,H002,3.0
209.0,H008,5.0
210.0,H016,2.0
210.0,H002,1.0
215.0,H006,2.0
215.0,H001,3.0
216.0,H001,3.0
216.0,H014,4.0
216.0,H018,5.0
219.0,NULL,2.0
220.0,H007,5.0
220.0,H004,4.0
221.0,H001,5.0
221.0,H014,5.0
222.0,H018,3.0
226.0,H018,2.0
226.0,H016,4.0
226.0,H003,4.0
227.0,H002,5.0
227.0,H002,3.0
228.0,H011,3.0
228.0,H017,5.0
228.0,H007,2.0
229.0,H007,1.0
230.0,H018,1.0
231.0,H006,NULL
231.0,H007,3.0
231.0,NULL,1.0
231.0,H018,5.0
231.0,H018,5.0
232.0,H010,5.0
232.0,H002,3.0
232.0,H002,3.0
233.0,H001,1.0
233.0,H001,2.0
234.0,H014,3.0
235.0,H008,2.0
235.0,H007,4.0
236.0,H018,2.0
237.0,H007,5.0
239.0,H011,4.0
