ID_entrada,ID_show,satisfaccion
2.0,S014,3.0
2.0,S015,4.0
8.0,S017,2.0
10.0,S015,4.0
11.0,S004,2.0
15.0,S014,1.0
17.0,S018,1.0
18.0,S003,4.0
18.0,S005,4.0
18.0,S012,1.0
18.0,S018,1.0
22.0,S002,1.0
22.0,S008,4.0
27.0,S003,5.0
30.0,S015,2.0
30.0,S005,2.0
31.0,S006,3.0
32.0,S009,4.0
32.0,S001,3.0
32.0,S002,5.0
35.0,S010,1.0
36.0,S003,2.0
36.0,S015,2.0
36.0,S002,1.0
36.0,S001,1.0
37.0,S016,1.0
38.0,S015,1.0
38.0,S018,1.0
39.0,S006,2.0
39.0,S012,1.0
42.0,S007,1.0
51.0,S017,4.0
54.0,S018,3.0
57.0,S004,4.0
68.0,S017,3.0
71.0,S002,3.0
71.0,S006,1.0
74.0,S018,3.0
79.0,S003,4.0
81.0,S012,3.0
82.0,S014,3.0
82.0,S009,4.0
86.0,S015,NULL
86.0,S003,1.0
88.0,S018,4.0
88.0,S001,5.0
88.0,S017,3.0
94.0,S018,4.0
96.0,S011,5.0
96.0,S008,NULL
99.0,S007,3.0
104.0,S012,5.0
106.0,S002,NULL
106.0,S014,3.0
107.0,S007,1.0
107.0,S012,4.0
108.0,S016,1.0
109.0,S007,1.0
109.0,S009,2.0
114.0,S005,2.0
114.0,S007,NULL
114.0,S003,2.0
114.0,S014,NULL
115.0,S017,3.0
116.0,S001,5.0
116.0,S013,5.0
120.0,S005,3.0
120.0,S009,5.0
124.0,S016,3.0
124.0,S016,2.0
125.0,S004,1.0
125.0,S014,2.0
128.0,S013,2.0
129.0,S018,NULL
130.0,S009,1.0
132.0,S014,2.0
137.0,S007,1.0
137.0,S013,4.0
141.0,S015,1.0
148.0,S011,1.0
150.0,S016,1.0
150.0,S012,4.0
150.0,S010,2.0
153.0,S006,1.0
153.0,S017,NULL
157.0,S005,3.0
158.0,S016,5.0
158.0,S016,3.0
160.0,S015,1.0
161.0,S010,5.0
161.0,S017,4.0
162.0,S011,2.0
164.0,S016,1.0
167.0,S013,4.0
167.0,S013,4.0
170.0,S004,4.0
174.0,S009,1.0
177.0,S007,5.0
177.0,S010,4.0
179.0,S012,1.0
180.0,S010,5.0
185.0,S012,1.0
186.0,S011,4.0
186.0,S010,NULL
190.0,S013,4.0
190.0,S018,3.0
190.0,S014,1.0
190.0,S017,1.0
190.0,S018,1.0
190.0,S018,4.0
191.0,S013,3.0
191.0,S001,3.0
194.0,S002,4.0
197.0,S008,1.0
197.0,S011,5.0
202.0,S002,3.0
206.0,S003,5.0
207.0,S002,4.0
210.0,S011,5.0
214.0,S011,3.0
217.0,S003,1.0
217.0,S002,2.0
218.0,S018,3.0
218.0,S014,4.0
218.0,S005,1.0
221.0,S001,1.0
221.0,S003,4.0
226.0,S014,3.0
226.0,S014,4.0
226.0,S007,1.0
226.0,S017,3.0
226.0,S003,1.0
232.0,S010,3.0
234.0,S016,1.0
240.0,S012,2.0
242.0,S003,1.0
242.0,S004,2.0
242.0,S009,5.0
248.0,S011,3.0
264.0,S014,5.0
264.0,S010,2.0
264.0,S008,1.0
265.0,S001,1.0
265.0,S003,4.0
265.0,S017,1.0
265.0,S010,5.0
274.0,S009,1.0
274.0,S007,3.0
275.0,S018,4.0
275.0,S012,3.0
276.0,S001,2.0
279.0,S008,3.0
282.0,S006,1.0
285.0,S018,5.0
286.0,S018,1.0
287.0,S017,3.0
287.0,S011,1.0
289.0,S014,3.0
289.0,S009,2.0
289.0,S010,3.0
290.0,S004,2.0
292.0,S003,1.0
296.0,S011,5.0
296.0,S008,NULL
301.0,S002,4.0
302.0,S004,3.0
302.0,S013,1.0
312.0,S016,3.0
317.0,S017,4.0
318.0,S003,4.0
319.0,S002,3.0
319.0,S008,5.0
319.0,S002,4.0
323.0,S002,5.0
323.0,S008,4.0
324.0,S002,2.0
327.0,S007,1.0
328.0,S004,1.0
328.0,S004,2.0
334.0,S010,3.0
334.0,S006,4.0
335.0,S004,3.0
335.0,S010,1.0
335.0,S014,NULL
337.0,S012,2.0
337.0,S001,5.0
337.0,S013,2.0
338.0,S003,3.0
341.0,S001,5.0
341.0,S007,NULL
342.0,S004,NULL
342.0,S016,2.0
346.0,S008,4.0
348.0,S014,5.0
349.0,S012,5.0
349.0,S005,3.0
351.0,S005,3.0
352.0,S009,2.0
367.0,S004,5.0
367.0,S001,2.0
367.0,S018,3.0
372.0,S001,3.0
377.0,S009,4.0
378.0,S009,1.0
378.0,S018,4.0
379.0,S004,1.0
382.0,S002,1.0
382.0,S010,3.0
386.0,S009,3.0
386.0,S017,4.0
388.0,S007,3.0
391.0,S014,3.0
391.0,S010,4.0
393.0,S009,1.0
395.0,S015,5.0
395.0,S017,5.0
400.0,S002,3.0
402.0,S017,2.0
404.0,S011,4.0
410.0,S006,3.0
410.0,S010,5.0
412.0,S001,4.0
413.0,S010,NULL
413.0,S018,4.0
414.0,S004,4.0
414.0,S017,NULL
414.0,S017,2.0
414.0,S003,3.0
414.0,S006,1.0
417.0,S007,1.0
419.0,S015,NULL
421.0,S010,1.0
421.0,S001,3.0
428.0,S004,1.0
430.0,S008,NULL
438.0,S011,1.0
438.0,S007,2.0
441.0,S002,3.0
441.0,S016,3.0
444.0,S012,3.0
444.0,S002,4.0
444.0,S012,1.0
447.0,S015,3.0
447.0,S018,4.0
447.0,S010,2.0
449.0,S013,4.0
451.0,S013,3.0
454.0,S007,3.0
460.0,S008,2.0
460.0,S001,1.0
460.0,S005,5.0
460.0,S004,1.0
461.0,S002,2.0
462.0,S007,2.0
462.0,S006,1.0
463.0,S016,4.0
465.0,S014,NULL
468.0,S002,1.0
472.0,S011,1.0
474.0,S018,4.0
475.0,S017,3.0
475.0,S009,1.0
476.0,S011,2.0
476.0,S008,2.0
477.0,S011,5.0
477.0,S011,1.0
483.0,S003,2.0
487.0,S004,NULL
487.0,S014,5.0
492.0,S018,NULL
493.0,S007,2.0
493.0,S009,1.0
493.0,S016,2.0
500.0,S003,1.0
500.0,S017,3.0
503.0,S009,2.0
503.0,S009,5.0
504.0,S009,3.0
504.0,S017,5.0
504.0,S003,5.0
508.0,S013,1.0
509.0,S002,2.0
511.0,S007,1.0
513.0,S017,4.0
518.0,S003,3.0
519.0,S016,3.0
532.0,S005,5.0
532.0,S001,1.0
533.0,S004,2.0
539.0,S001,4.0
540.0,S007,NULL
541.0,S006,2.0
541.0,S002,5.0
552.0,S011,4.0
555.0,S011,2.0
561.0,S009,5.0
561.0,S014,1.0
564.0,S010,5.0
564.0,S013,NULL
564.0,S014,4.0
570.0,S016,2.0
571.0,S001,1.0
573.0,S011,3.0
573.0,S016,2.0
573.0,S004,1.0
576.0,S014,4.0
576.0,S008,1.0
578.0,S013,5.0
580.0,S008,3.0
582.0,S015,2.0
582.0,S010,4.0
583.0,S018,3.0
587.0,S009,NULL
587.0,S002,5.0
591.0,S003,5.0
591.0,S018,1.0
591.0,S015,1.0
599.0,S013,2.0
